assessment_name,question,explanation,option_a,option_b,option_c,option_d,option_e,,,,,,,,
Advanced Cloud Security Check,How are access keys and credentials for cloud services managed?,"Checks your method for handling sensitive 'keys' to your cloud accounts (like AWS, Azure). Secure management prevents these keys from being stolen and used to access your infrastructure.",We use a dedicated secrets management service (e.g., AWS Secrets Manager, HashiCorp Vault) with automated key rotation.,Keys are stored as environment variables on servers and rotated manually every 90 days.,Keys are stored in private code repositories or configuration files.,Keys are hardcoded directly into the application source code.,We use the same long-lived key for all services.,,,,,,
Advanced Cloud Security Check,"What is your strategy for network security in the cloud (VPCs, Security Groups, NACLs)?","Asks about your setup for creating private, isolated networks in the cloud. Proper configuration acts as a virtual firewall, controlling who and what can access your servers.",We use a multi-tiered VPC architecture with strict, least-privilege security groups and network ACLs for defense-in-depth.,We use a single VPC with security groups configured to allow traffic only from specific known IP addresses.,We use a default VPC and rely on the default security group settings, which are somewhat permissive.,Our security groups are configured to allow all traffic (0.0.0.0/0) on most ports for ease of access.,We don't use VPCs or security groups.,,,,,,
Advanced Cloud Security Check,"How is data encryption managed for storage services (e.g., S3, Blob Storage, EBS)?",Checks if data saved in your cloud storage is scrambled (encrypted). This protects your information even if an unauthorized person somehow gains access to the storage system.,All data is encrypted at rest by default using customer-managed keys (CMK) with a defined key rotation policy.,All data is encrypted at rest using the cloud provider's default managed keys.,Only buckets/volumes containing known sensitive data are manually configured for encryption.,We rely on the default settings, which may or may not include encryption.,We do not encrypt data stored in the cloud.,,,,,,,
Advanced Cloud Security Check,"Are detailed logging and monitoring enabled for all cloud activities (e.g., CloudTrail, Azure Monitor)?",Determines if you are recording every action taken in your cloud account. This log is crucial for investigating security incidents and detecting unauthorized activity.,Yes, logging is enabled for all services in all regions, aggregated to a central, tamper-proof account, with alerts on suspicious API calls.,Logging is enabled for most critical services, and logs are reviewed manually during an incident.,Logging is enabled but logs are stored in the same account and are not centrally managed or monitored.,Logging is enabled on only a few services, or we use the default settings.,Logging is disabled to save costs.,,
Advanced Cloud Security Check,How do you enforce Identity and Access Management (IAM) policies based on the principle of least privilege?,"Asks how you control what each user and service is allowed to do in your cloud account, ensuring they only have the minimum permissions necessary for their tasks.",IAM roles with granular, resource-specific permissions are used for all human and machine access. Permissions are reviewed quarterly.,We use IAM groups with broad policies (e.g., PowerUser, ReadOnly) assigned to users.,We attach policies directly to individual IAM users as needed, but rarely review or remove them.,Most developers and services use an IAM user with full administrator access for convenience.,We use the root account for all daily operations.,,,,
Advanced Cloud Security Check,"What is your approach to vulnerability scanning for cloud workloads (e.g., container images, EC2 instances)?",Checks if you regularly scan your cloud servers and application containers for known security weaknesses to fix them before they can be exploited by attackers.,We have an automated CI/CD pipeline that scans all container images and AMIs for vulnerabilities before deployment, blocking critical findings.,We run weekly automated vulnerability scans on all running instances and container repositories.,We perform manual, ad-hoc vulnerability scans on our primary production servers a few times a year.,We rely on the security of the base images provided by the cloud provider or Docker Hub.,We do not perform vulnerability scanning on our cloud workloads.,,,,,,
Advanced Cloud Security Check,How are your public-facing cloud services protected against DDoS attacks?,"Determines what protections you have in place to defend against attacks that try to overwhelm your website or application with traffic, making it unavailable for legitimate users.",We use a managed DDoS protection service (e.g., AWS Shield Advanced, Azure DDoS Protection Standard) combined with a WAF and a CDN.,We rely on the standard, default DDoS protection included with our cloud provider's services.,We have a WAF, but no specific, advanced DDoS mitigation service.,We have no specific DDoS protection in place.,We are not sure what DDoS protection is.,,,
Advanced Cloud Security Check,How do you manage and audit third-party and marketplace software used in your cloud environment?,Asks about your process for approving and monitoring software from external vendors that you run in your cloud. This prevents the introduction of insecure third-party code.,All third-party software from marketplaces undergoes a security review and is deployed in an isolated environment before production use.,We only use software from well-known, reputable vendors found on the official cloud marketplace.,We allow developers to use any third-party software they need to get their job done, without a formal review process.,We are not aware of any third-party software running in our environment.,We do not use any third-party software.,,,,,,
Advanced Cloud Security Check,"What is your strategy for cloud database security (e.g., RDS, Cosmos DB)?","Checks how you secure your cloud databases, including controlling network access, encrypting data, and managing user permissions to protect the information stored within.",Databases are deployed in private subnets, require SSL/TLS for connections, have encryption at rest enabled, and use granular IAM database authentication.,Databases are in private subnets with access restricted by security groups to specific application servers.,Databases are publicly accessible but are protected by a strong password.,Databases are publicly accessible and use default port numbers with simple passwords.,We are not sure how our databases are configured.,,,,,
Advanced Cloud Security Check,"How do you manage infrastructure as code (IaC) security (e.g., Terraform, CloudFormation)?",Asks if you check your infrastructure configuration scripts for security issues. This prevents deploying a new server or service with a built-in security flaw.,We use automated static analysis security testing (SAST) tools in our CI/CD pipeline to scan IaC templates for misconfigurations before deployment.,We have a manual peer-review process for all infrastructure code changes to look for potential security issues.,We use IaC but do not have a specific security review process for the templates.,We make changes to our cloud infrastructure manually through the web console.,We do not use Infrastructure as Code.,,,,,,,,
Advanced Cloud Security Check,"How do you handle container security (e.g., runtime security, pod security policies)?","If you use containers (like Docker), this checks if you have security measures in place to protect the applications running inside them while they are active.",We use runtime security monitoring tools, enforce pod security policies (or equivalents), and run containers as non-root users with read-only filesystems where possible.,We scan container images for vulnerabilities but do not have specific runtime security monitoring in place.,We run our containers using the default settings provided by the orchestration service (e.g., EKS, AKS).,Our containers are run with root privileges for maximum compatibility.,We do not use containers.,,,,
Advanced Cloud Security Check,How is multi-factor authentication (MFA) enforced for all human access to the cloud management console?,"Checks if all users, including administrators, are required to use a second verification step (like a phone app) to log in to the main cloud control panel.",MFA is enforced programmatically for all IAM users and the root account, and console access is federated through a central identity provider requiring MFA.,MFA is enabled and required for all administrative users and the root account.,MFA is encouraged for all users but not strictly enforced by policy.,Only the root account has MFA enabled.,MFA is not used for any account.,,,,,,,
Advanced Cloud Security Check,What is your disaster recovery (DR) and business continuity plan for your cloud environment?,"Asks about your plan to recover and continue operating if a major failure occurs in your primary cloud region, such as by having backups in another location.",We have a well-documented and tested multi-region DR plan with automated failover for critical services and regular cross-region backup replication.,We have regular backups of our data and infrastructure templates stored in a different region, with a manual recovery process documented.,We have backups stored in the same region as our primary infrastructure.,We rely on the high availability of a single cloud region to prevent outages.,We do not have a disaster recovery plan.,,,,,,,
Advanced Cloud Security Check,How do you monitor for and respond to security events in your cloud environment?,"Determines your process for detecting and reacting to security alerts from your cloud services, ensuring a swift response to potential threats.",We have a centralized security alerting system (from SIEM/monitoring tools) with automated response actions for common events and a 24/7 on-call rotation.,We receive email alerts from cloud security services and respond to them manually during business hours.,We periodically log in to the cloud console to check for any security notifications.,We assume the cloud provider handles all security events.,We do not monitor for security events.,,,,,,,,
Advanced Cloud Security Check,"How do you secure serverless functions (e.g., Lambda, Azure Functions)?","If you use serverless computing, this checks how you control the permissions of each function to ensure it only accesses the specific resources it needs (least privilege).",Each serverless function has a unique IAM execution role with narrowly scoped, least-privilege permissions. Function dependencies are scanned for vulnerabilities.,Functions use shared execution roles with broader permissions based on their general purpose (e.g., 'database-access-role').,All functions run under a single, highly permissive execution role for simplicity.,Our functions have administrator-level permissions to avoid any access issues.,We do not use serverless functions.,,,,,
GDPR Compliance Audit,What is your documented lawful basis for processing personal data?,"GDPR requires you to have a valid, specific reason for collecting and using personal data. This checks if you have identified and written down your legal reason (e.g., user consent).",We have a documented lawful basis for each data processing activity, which is reviewed and included in our privacy notice.,We primarily rely on user consent, obtained via clear affirmative action, for all our data processing.,We process data based on our 'legitimate interests' but have not performed or documented a formal balancing test.,We assume we have a right to process the data we collect.,We are not sure what a 'lawful basis' is.,,,,,
GDPR Compliance Audit,"How do you facilitate data subject rights (e.g., right to access, right to erasure)?","Asks about your process for handling requests from individuals who want to see, change, or delete the personal data you hold about them, as required by law.",We have a clear, documented process and a dedicated contact point for handling data subject requests within the one-month time limit.,We handle requests on an ad-hoc basis as they come in via email or support tickets.,We have received requests but are unsure how to process them or if we have to comply.,We tell users we are unable to delete their data.,We have never received a data subject request.,,,,,,,
GDPR Compliance Audit,"Do you have a Data Protection Officer (DPO) appointed, if required?","Checks if your organization has officially appointed a person responsible for overseeing data protection strategy and compliance, which is mandatory for some businesses.",Yes, we have formally appointed a DPO with the necessary expertise and have registered them with the relevant supervisory authority.,We have assigned data protection responsibilities to an existing employee, but not as a formal DPO role.,We use an external consultant for data protection advice but have no appointed DPO.,We are a small company and believe we do not need a DPO.,We do not know what a DPO is.,,,,,,
GDPR Compliance Audit,How do you implement 'Data Protection by Design and by Default'?,"This principle means you must build data protection into your projects from the very beginning, and your default settings should be the most privacy-friendly. This question checks your approach.",We have a formal process where a Data Protection Impact Assessment (DPIA) is conducted for all new projects involving personal data.,We consider privacy during the design phase of new products, but the process is informal.,We try to add privacy features after a product has been built if a concern is raised.,We prioritize functionality first and consider privacy only if required by customers.,We are not familiar with this principle.,,,,,,,
GDPR Compliance Audit,"What is your process for data breach notification to the supervisory authority (e.g., ICO in the UK)?",Asks about your plan for reporting a personal data breach to the official data protection authority within the legally required 72-hour timeframe.,We have a documented internal procedure for assessing and reporting breaches to the supervisory authority within 72 hours, as part of our Incident Response Plan.,We know we need to report breaches and would contact our legal advisor to do so if one occurred.,We would only report a breach if it was very large or if customers complained.,We believe we are not required to report data breaches.,We do not have a process for this.,,,,,,,
GDPR Compliance Audit,Do you maintain a Record of Processing Activities (RoPA) as required under Article 30?,"Checks if you keep a detailed internal record of all your activities that involve processing personal data, including the purpose, data categories, and any data transfers.",Yes, we maintain a comprehensive and up-to-date RoPA that is regularly reviewed and made available to supervisory authorities upon request.,We have a spreadsheet that lists our main data processing activities, but it is not fully detailed or regularly updated.,We have some documentation on data flows for specific projects, but not a central record.,We do not maintain a record of our processing activities.,We do not know what a RoPA is.,,,,,
GDPR Compliance Audit,How do you ensure data protection with third-party vendors (data processors)?,Asks what steps you take to ensure that other companies you share personal data with (like a cloud provider or marketing service) also protect it according to GDPR rules.,We have signed Data Processing Agreements (DPAs) with all third-party vendors, and we conduct periodic reviews of their security and compliance measures.,We have DPAs in place with our major vendors.,We check the vendor's privacy policy before using their service, but do not have formal agreements.,We use vendors without a formal data protection review process.,We do not share personal data with any third-party vendors.,,,,,,
GDPR Compliance Audit,How do you manage international data transfers outside the UK/EEA?,"If you send personal data to other countries, this checks if you use a legally approved method (like Standard Contractual Clauses) to ensure that data remains protected.",All international data transfers are mapped and conducted using a valid transfer mechanism, such as the UK's International Data Transfer Agreement or Adequacy decisions.,We are aware some of our vendors are outside the UK/EEA and believe they are compliant, but have not documented the transfer mechanism.,We transfer data to vendors globally without a specific legal mechanism in place, assuming it's okay.,We are not sure where our data is stored or transferred.,We do not transfer any data internationally.,,,,,
GDPR Compliance Audit,How are data retention periods defined and enforced?,"Checks if you have a policy that specifies how long you keep different types of personal data, and a process to securely delete it once it's no longer needed.",We have a data retention policy with specific periods for all categories of personal data, and an automated process for deletion or anonymization.,We have general guidelines for data retention but the deletion process is manual and ad-hoc.,We keep most data indefinitely unless a user specifically asks for it to be deleted.,We have never deleted any personal data we have collected.,We do not have a data retention policy.,,,,,,,
GDPR Compliance Audit,How do you ensure your privacy notices are transparent and easily accessible?,"Checks if your privacy policy is easy for people to find, written in clear language, and contains all the information required by GDPR to inform them about how you use their data.",Our privacy notice is written in plain language, easily accessible from all data collection points, and reviewed regularly for accuracy and compliance.,We have a comprehensive privacy policy linked in our website footer.,Our privacy policy is a long legal document that is difficult for a non-lawyer to understand.,We do not have a privacy notice or policy.,We use a generic privacy policy template we found online.,,,,,,
