Question Number,Option,Score,Explanation
20,A,2,Ensures that employees are aware of their responsibilities and the organization has legal recourse.
20,B,1,A foundational governance document.
20,C,0,Unwritten rules are not enforceable and lead to inconsistent behavior.
20,D,-2,A significant risk that can lead to misuse of assets and internal threats.
20,E,-1,Indicates a lack of basic IT governance.
21,A,2,Demonstrates due diligence and a proactive stance on compliance.
21,B,1,"A good faith effort, but may contain gaps without a formal review."
21,C,-1,Awareness without action is a significant legal and financial risk.
21,D,-2,Willful ignorance is not a defense and represents a major compliance risk.
21,E,-1,"A significant risk, as non-compliance can lead to heavy fines and reputational damage."
22,A,2,A proactive security measure that allows for rapid detection and response to threats.
22,B,1,A good security control that provides visibility into network threats.
22,C,0,Awareness without implementation provides no security benefit.
22,D,-1,Indicates a lack of knowledge about modern network security technologies.
22,E,-2,The network is blind to active threats and ongoing attacks.
23,A,2,"The best practice for security visibility, enabling rapid threat detection and investigation."
23,B,1,"A good start, but manual analysis is not scalable or effective for real-time threat detection."
23,C,-1,"Useless for incident response, as correlating events across devices is nearly impossible."
23,D,-2,A critical visibility gap. You cannot investigate or learn from a breach without logs.
23,E,-1,Indicates a lack of knowledge about modern security monitoring.
24,A,2,"The single most effective control to prevent unauthorized access, even if passwords are stolen."
24,B,1,A good practice that protects the most powerful accounts.
24,C,0,"Optional security is rarely used by the majority of users, providing little overall protection."
24,D,-1,Provides a false sense of security while leaving all critical systems exposed.
24,E,-2,A critical vulnerability in today's threat landscape. It makes account takeover trivial.
25,A,2,A comprehensive data protection strategy that protects data from all forms of unauthorized access.
25,B,1,"Good security, but leaves data vulnerable if a server or database is compromised."
25,C,-1,Inconsistent encryption leaves sensitive data exposed.
25,D,-1,"A significant risk, as you cannot confirm that sensitive data is protected."
25,E,-2,A critical flaw that exposes all sensitive data to interception and direct access.
26,A,2,"A mature, proactive approach to identifying and remediating vulnerabilities."
26,B,1,A good practice for proactively identifying security weaknesses.
26,C,0,A one-time snapshot that is now outdated and provides a false sense of security.
26,D,-1,Indicates a lack of awareness of fundamental security assurance practices.
26,E,-2,A purely reactive security posture. You will only find vulnerabilities when they are exploited by attackers.
27,A,2,The most effective way to build a human firewall and defend against social engineering.
27,B,1,"A good first step, but security knowledge becomes outdated without regular reinforcement."
27,C,-1,Ineffective and insufficient for creating a security-aware culture.
27,D,-1,A dangerous assumption that ignores the fact that employees are the primary target of attackers.
27,E,-2,A critical gap that makes the organization highly vulnerable to phishing and other social engineering attacks.
28,A,2,A comprehensive process that ensures sensitive data does not leave the organization on old equipment.
28,B,1,A good practice that prevents casual data recovery from disposed drives.
28,C,-2,A significant risk. Deleted files are easily recoverable with free software.
28,D,-2,A critical data leakage risk. This is equivalent to handing your data to strangers.
28,E,-1,Indicates a lack of control and a high probability of data leakage.
29,A,2,"A mature, proactive process that minimizes the window of exploitation for new vulnerabilities."
29,B,1,"A good, disciplined process, though slower than automated systems."
29,C,-1,A reactive 'break-fix' approach that guarantees systems remain vulnerable for long periods.
29,D,-2,"A critical failure in security maintenance, leading to a build-up of easily exploitable vulnerabilities."
29,E,-1,"A significant operational risk, as unpatched systems are a primary target for attackers."
30,A,2,"The gold standard for access control, minimizing the potential impact of any single account compromise."
30,B,1,"A good, foundational access control model."
30,C,-1,"Known as 'privilege creep,' this creates a massive internal attack surface over time."
30,D,-2,A critical risk. A compromise of any user account could lead to a full company data breach.
30,E,-1,"Indicates a lack of basic access control, a fundamental security principle."
